,INFLATION,DXY,SP500,10Y_BOND,Term Spread,UNEMPLOYMENT,EXPINF10YR,loan interest calculator,current interest rate,home prices,Ohio gas prices,gas station prices,house prices,current inflation,costco gas,oil prices,inflation rates,costco gas prices,house for sale,house sale prices,houses for sale,mortgage rate,gas prices,natural gas prices,savings account interest,interest rate mortgage,natural gas,texas house prices,gas prices today,what is inflation,inflation rate,cheap gas prices,inflation index,cheap gas,transitory inflation,best gas prices,current inflation rate,what is interest rate,inflation checks,calculate interest rate,fed interest rate,lowest gas prices,us inflation rate,cheapest gas prices,savings account interest rate,inflation,interest rate,average interest rate,interest calculator,inflation calculator,money inflation,federal interest rate,economy,inflation in us,bank rate,interest rate increase,cpi inflation,real interest rate,how does raising interest rates help inflation,what is the interest rate,cpi,rate of inflation,what is the inflation rate,loan calculator,inflation definition,real estate prices,us inflation,what is inflation rate,california house prices,interest rate calculator,high gas prices,car loan interest rate,us gas prices,gdp,interest rate today,unemployment rate,annual interest rate,interest rates
2020-08-01,1.30907,92.13999938964844,3500.31005859375,0.6930000185966492,0.5980000197887421,8.4,1.34095578,69.0,37.0,43.0,17.0,15.0,59.0,17.0,18.0,11.0,13.0,8.0,91.0,24.0,95.0,40.0,6.0,14.0,44.0,36.0,46.0,31.0,5.0,18.0,22.0,4.0,17.0,12.0,0.0,10.0,19.0,33.0,0.0,41.0,7.0,5.0,26.0,9.0,40.0,21.0,49.0,49.0,62.0,52.0,25.0,21.0,40.0,20.0,45.0,13.0,13.0,18.0,2.0,29.0,28.0,20.0,13.0,90.0,27.0,18.0,22.0,15.0,13.0,56.0,1.0,43.0,2.0,48.0,20.0,42.0,26.0,33.0
2020-09-01,1.37148,93.88999938964844,3363.0,0.6769999861717224,0.5919999852776527,7.9,1.35099923,67.0,48.0,41.0,16.0,15.0,58.0,25.0,16.0,11.0,18.0,7.0,79.0,28.0,85.0,31.0,5.0,13.0,49.0,33.0,45.0,39.0,4.0,39.0,33.0,4.0,28.0,11.0,0.0,8.0,26.0,51.0,0.0,69.0,9.0,6.0,29.0,8.0,45.0,24.0,56.0,56.0,65.0,56.0,31.0,20.0,63.0,27.0,43.0,33.0,30.0,41.0,0.0,52.0,30.0,44.0,37.0,79.0,50.0,19.0,24.0,37.0,19.0,64.0,1.0,51.0,2.0,66.0,25.0,40.0,74.0,32.0
2020-10-01,1.18253,94.04000091552734,3269.9599609375,0.8600000143051147,0.7770000174641609,6.9,1.33753773,65.0,52.0,36.0,17.0,20.0,64.0,26.0,17.0,12.0,21.0,8.0,77.0,25.0,84.0,27.0,6.0,15.0,49.0,31.0,51.0,39.0,5.0,45.0,38.0,4.0,40.0,11.0,2.0,9.0,29.0,64.0,0.0,70.0,9.0,6.0,28.0,8.0,47.0,24.0,56.0,55.0,66.0,53.0,37.0,21.0,58.0,32.0,46.0,48.0,39.0,60.0,2.0,61.0,32.0,61.0,51.0,76.0,51.0,17.0,23.0,49.0,14.0,63.0,2.0,51.0,4.0,87.0,23.0,37.0,78.0,30.0
2020-11-01,1.16756,91.87000274658203,3621.6298828125,0.843999981880188,0.7689999788999557,6.7,1.37663264,56.0,44.0,37.0,17.0,17.0,53.0,24.0,16.0,12.0,20.0,7.0,66.0,21.0,73.0,23.0,8.0,10.0,37.0,26.0,46.0,37.0,6.0,39.0,33.0,4.0,24.0,10.0,0.0,10.0,27.0,46.0,1.0,62.0,14.0,6.0,27.0,7.0,33.0,22.0,48.0,50.0,59.0,50.0,42.0,24.0,48.0,28.0,44.0,50.0,19.0,55.0,0.0,50.0,25.0,48.0,43.0,67.0,36.0,14.0,21.0,41.0,17.0,55.0,2.0,44.0,4.0,57.0,17.0,27.0,58.0,28.0
2020-12-01,1.32204,89.94000244140625,3756.070068359375,0.9169999957084656,0.8519999980926514,6.7,1.41717038,60.0,38.0,37.0,17.0,21.0,54.0,18.0,17.0,12.0,16.0,8.0,70.0,26.0,72.0,24.0,6.0,13.0,43.0,25.0,48.0,44.0,4.0,33.0,28.0,4.0,19.0,11.0,0.0,8.0,18.0,43.0,1.0,48.0,13.0,6.0,27.0,9.0,34.0,25.0,44.0,47.0,66.0,62.0,43.0,23.0,38.0,27.0,40.0,37.0,15.0,33.0,0.0,42.0,24.0,37.0,29.0,70.0,32.0,12.0,24.0,29.0,19.0,56.0,1.0,48.0,2.0,45.0,14.0,25.0,40.0,26.0
2021-01-01,1.39478,90.58000183105469,3714.239990234375,1.093000054359436,1.0450000539422035,6.3,1.37942385,68.0,34.0,40.0,23.0,22.0,59.0,18.0,16.0,14.0,12.0,10.0,83.0,28.0,87.0,30.0,12.0,10.0,50.0,33.0,46.0,41.0,13.0,27.0,26.0,5.0,18.0,13.0,0.0,14.0,21.0,37.0,1.0,39.0,5.0,8.0,30.0,11.0,39.0,26.0,45.0,50.0,70.0,66.0,29.0,17.0,40.0,28.0,37.0,19.0,17.0,19.0,4.0,33.0,24.0,25.0,20.0,78.0,35.0,14.0,26.0,20.0,18.0,57.0,3.0,40.0,8.0,48.0,19.0,27.0,33.0,30.0
2021-02-01,1.69336,90.93000030517578,3811.14990234375,1.4600000381469727,1.425000037997961,6.2,1.42757598,70.0,47.0,45.0,28.0,24.0,64.0,25.0,20.0,16.0,23.0,13.0,86.0,27.0,94.0,31.0,17.0,40.0,50.0,36.0,73.0,55.0,14.0,42.0,39.0,5.0,37.0,14.0,0.0,16.0,26.0,52.0,1.0,70.0,8.0,11.0,38.0,16.0,43.0,33.0,58.0,58.0,79.0,66.0,40.0,22.0,43.0,39.0,40.0,36.0,32.0,44.0,3.0,55.0,32.0,47.0,40.0,81.0,46.0,17.0,33.0,39.0,18.0,67.0,7.0,58.0,10.0,58.0,26.0,24.0,65.0,36.0
2021-03-01,2.63052,93.2300033569336,3972.889892578125,1.746000051498413,1.7330000512301922,6.1,1.4974036,73.0,52.0,46.0,25.0,25.0,64.0,28.0,24.0,16.0,27.0,14.0,88.0,31.0,96.0,33.0,19.0,13.0,52.0,35.0,49.0,49.0,14.0,49.0,40.0,5.0,41.0,15.0,4.0,19.0,29.0,57.0,1.0,66.0,11.0,11.0,38.0,18.0,46.0,33.0,61.0,65.0,73.0,59.0,44.0,24.0,43.0,38.0,43.0,50.0,36.0,56.0,5.0,58.0,35.0,53.0,45.0,87.0,53.0,16.0,32.0,45.0,17.0,68.0,11.0,65.0,13.0,57.0,26.0,25.0,68.0,37.0
2021-04-01,4.13055,91.27999877929688,4181.169921875,1.63100004196167,1.628000041935593,6.1,1.58314707,71.0,52.0,50.0,22.0,25.0,69.0,28.0,26.0,10.0,26.0,14.0,94.0,33.0,100.0,28.0,9.0,9.0,47.0,33.0,47.0,52.0,8.0,50.0,41.0,5.0,31.0,13.0,6.0,14.0,30.0,54.0,1.0,65.0,15.0,9.0,38.0,13.0,42.0,33.0,57.0,62.0,76.0,54.0,55.0,28.0,46.0,41.0,46.0,57.0,25.0,57.0,0.0,60.0,30.0,57.0,52.0,84.0,53.0,18.0,35.0,49.0,28.0,66.0,4.0,62.0,4.0,54.0,21.0,24.0,65.0,31.0
2021-05-01,4.91503,89.83999633789062,4204.10986328125,1.5809999704360962,1.5729999700561166,5.8,1.57835302,63.0,40.0,58.0,36.0,37.0,75.0,34.0,37.0,10.0,30.0,20.0,94.0,33.0,98.0,23.0,25.0,11.0,44.0,27.0,46.0,55.0,22.0,53.0,42.0,7.0,39.0,17.0,42.0,22.0,34.0,50.0,1.0,52.0,12.0,14.0,46.0,20.0,36.0,46.0,50.0,53.0,64.0,59.0,51.0,24.0,42.0,53.0,38.0,42.0,31.0,40.0,0.0,46.0,37.0,40.0,35.0,76.0,61.0,19.0,50.0,36.0,18.0,59.0,10.0,60.0,13.0,47.0,18.0,23.0,43.0,30.0
2021-06-01,5.28161,92.44000244140625,4297.5,1.4429999589920044,1.402999959886074,5.9,1.59628851,63.0,31.0,53.0,27.0,27.0,73.0,30.0,31.0,11.0,22.0,15.0,90.0,35.0,94.0,24.0,12.0,11.0,33.0,24.0,42.0,58.0,11.0,34.0,30.0,6.0,27.0,15.0,61.0,14.0,29.0,32.0,0.0,37.0,9.0,10.0,35.0,17.0,26.0,38.0,41.0,47.0,57.0,57.0,29.0,19.0,32.0,35.0,33.0,18.0,27.0,22.0,3.0,29.0,39.0,26.0,21.0,78.0,41.0,20.0,40.0,23.0,19.0,47.0,6.0,50.0,6.0,32.0,15.0,16.0,28.0,28.0
2021-07-01,5.22151,92.16999816894531,4395.259765625,1.2389999628067017,1.1989999637007713,5.4,1.62481074,59.0,30.0,49.0,23.0,31.0,73.0,29.0,35.0,10.0,17.0,16.0,91.0,27.0,94.0,21.0,13.0,12.0,33.0,23.0,40.0,58.0,12.0,28.0,29.0,6.0,24.0,16.0,44.0,17.0,29.0,31.0,0.0,31.0,6.0,11.0,34.0,17.0,28.0,30.0,40.0,46.0,55.0,56.0,24.0,17.0,30.0,31.0,31.0,17.0,23.0,19.0,0.0,28.0,35.0,25.0,21.0,75.0,27.0,17.0,33.0,23.0,21.0,43.0,8.0,50.0,7.0,33.0,13.0,15.0,25.0,25.0
2021-08-01,5.18829,92.62999725341797,4522.68017578125,1.3040000200271606,1.2640000209212303,5.2,1.58016294,56.0,28.0,44.0,21.0,28.0,65.0,25.0,32.0,10.0,13.0,14.0,90.0,29.0,94.0,21.0,11.0,13.0,30.0,23.0,41.0,55.0,9.0,20.0,26.0,5.0,19.0,14.0,32.0,14.0,26.0,28.0,0.0,32.0,5.0,11.0,33.0,14.0,25.0,26.0,37.0,43.0,48.0,53.0,20.0,14.0,31.0,28.0,30.0,11.0,17.0,12.0,0.0,24.0,32.0,20.0,15.0,71.0,25.0,15.0,31.0,17.0,17.0,40.0,6.0,45.0,6.0,30.0,13.0,14.0,20.0,24.0
2021-09-01,5.38363,94.25,4307.5400390625,1.5290000438690186,1.5010000430047512,4.8,1.64278592,54.0,39.0,44.0,19.0,28.0,62.0,35.0,31.0,10.0,20.0,13.0,81.0,27.0,84.0,22.0,10.0,30.0,36.0,22.0,53.0,52.0,8.0,34.0,39.0,4.0,31.0,14.0,25.0,14.0,35.0,44.0,1.0,55.0,6.0,9.0,40.0,13.0,34.0,28.0,46.0,47.0,52.0,49.0,30.0,14.0,42.0,38.0,35.0,29.0,31.0,34.0,0.0,44.0,40.0,42.0,35.0,63.0,40.0,16.0,34.0,34.0,20.0,47.0,4.0,54.0,5.0,50.0,20.0,17.0,60.0,25.0
2021-10-01,6.23775,94.12000274658203,4605.3798828125,1.5570000410079956,1.509000040590763,4.5,1.61273952,55.0,45.0,46.0,31.0,35.0,72.0,49.0,35.0,16.0,30.0,19.0,82.0,31.0,81.0,21.0,20.0,42.0,38.0,24.0,56.0,44.0,20.0,50.0,52.0,7.0,40.0,18.0,54.0,23.0,50.0,50.0,0.0,63.0,8.0,13.0,52.0,22.0,35.0,39.0,48.0,52.0,54.0,54.0,40.0,18.0,43.0,53.0,43.0,42.0,45.0,48.0,0.0,53.0,37.0,56.0,51.0,62.0,48.0,16.0,50.0,51.0,21.0,52.0,21.0,52.0,15.0,61.0,19.0,21.0,69.0,26.0
2021-11-01,6.86239,95.98999786376953,4567.0,1.4429999589920044,1.3949999585747719,4.2,1.75849648,50.0,44.0,48.0,30.0,32.0,64.0,52.0,37.0,16.0,36.0,21.0,73.0,18.0,75.0,20.0,19.0,26.0,37.0,23.0,57.0,39.0,16.0,62.0,61.0,6.0,45.0,18.0,73.0,23.0,55.0,47.0,1.0,56.0,15.0,13.0,66.0,18.0,32.0,53.0,48.0,53.0,56.0,67.0,48.0,25.0,41.0,62.0,39.0,46.0,38.0,50.0,0.0,50.0,35.0,58.0,48.0,56.0,60.0,17.0,61.0,49.0,22.0,49.0,19.0,42.0,16.0,49.0,17.0,19.0,61.0,30.0
2021-12-01,7.19446,95.66999816894531,4766.18017578125,1.5119999647140503,1.4789999648928642,3.9,1.75897506,54.0,33.0,40.0,20.0,28.0,58.0,52.0,36.0,12.0,30.0,16.0,68.0,27.0,68.0,16.0,11.0,21.0,34.0,19.0,50.0,55.0,9.0,47.0,57.0,3.0,34.0,14.0,79.0,14.0,52.0,39.0,1.0,43.0,19.0,8.0,60.0,11.0,30.0,46.0,44.0,46.0,51.0,74.0,43.0,23.0,36.0,55.0,34.0,42.0,35.0,37.0,4.0,39.0,36.0,48.0,40.0,59.0,50.0,16.0,52.0,42.0,16.0,43.0,6.0,45.0,7.0,46.0,15.0,16.0,39.0,26.0
2022-01-01,7.59528,96.54000091552734,4515.5498046875,1.781999945640564,1.608999952673912,4.0,1.7965635,73.0,41.0,51.0,22.0,25.0,73.0,61.0,29.0,13.0,41.0,14.0,72.0,38.0,81.0,28.0,10.0,25.0,44.0,35.0,61.0,80.0,10.0,55.0,66.0,5.0,38.0,14.0,32.0,16.0,61.0,46.0,1.0,47.0,25.0,8.0,70.0,15.0,40.0,53.0,53.0,63.0,70.0,99.0,41.0,26.0,45.0,64.0,38.0,35.0,54.0,32.0,9.0,43.0,47.0,45.0,39.0,80.0,63.0,20.0,65.0,43.0,17.0,58.0,5.0,56.0,6.0,55.0,27.0,20.0,41.0,40.0
2022-02-01,7.95485,96.70999908447266,4373.93994140625,1.8389999866485596,1.5509999990463257,3.8,1.92112169,89.0,66.0,57.0,36.0,39.0,76.0,72.0,37.0,28.0,54.0,26.0,81.0,36.0,82.0,33.0,26.0,34.0,54.0,44.0,67.0,61.0,27.0,76.0,77.0,8.0,67.0,22.0,24.0,30.0,77.0,70.0,1.0,84.0,24.0,16.0,86.0,30.0,49.0,62.0,73.0,77.0,77.0,88.0,55.0,31.0,59.0,78.0,49.0,71.0,76.0,72.0,10.0,77.0,63.0,83.0,72.0,89.0,74.0,21.0,82.0,72.0,25.0,72.0,18.0,69.0,29.0,100.0,39.0,21.0,97.0,45.0
2022-03-01,8.51522,98.30999755859375,4530.41015625,2.3269999027252197,1.833999902009964,3.6,1.94721641,85.0,74.0,70.0,98.0,100.0,83.0,87.0,100.0,61.0,63.0,100.0,81.0,41.0,85.0,41.0,100.0,34.0,54.0,51.0,69.0,67.0,100.0,87.0,92.0,22.0,57.0,38.0,24.0,95.0,88.0,77.0,3.0,86.0,44.0,57.0,89.0,100.0,51.0,67.0,80.0,79.0,76.0,88.0,74.0,45.0,70.0,91.0,51.0,91.0,64.0,86.0,18.0,76.0,54.0,92.0,82.0,84.0,88.0,25.0,88.0,84.0,29.0,77.0,100.0,74.0,100.0,92.0,44.0,24.0,90.0,54.0
2022-04-01,8.22777,102.95999908447266,4131.93017578125,2.88700008392334,2.0790000557899475,3.6,2.21125412,87.0,92.0,62.0,37.0,38.0,82.0,100.0,52.0,21.0,69.0,33.0,78.0,35.0,80.0,48.0,23.0,25.0,60.0,54.0,61.0,65.0,23.0,100.0,100.0,9.0,63.0,20.0,23.0,31.0,100.0,92.0,4.0,89.0,39.0,17.0,100.0,32.0,56.0,75.0,92.0,97.0,82.0,85.0,100.0,56.0,73.0,100.0,63.0,100.0,89.0,100.0,3.0,95.0,61.0,100.0,100.0,81.0,100.0,22.0,93.0,100.0,28.0,88.0,16.0,79.0,16.0,96.0,44.0,28.0,90.0,59.0
2022-05-01,8.50233,101.75,4132.14990234375,2.8440001010894775,1.814000129699707,3.6,2.37039462,83.0,83.0,62.0,66.0,59.0,85.0,92.0,61.0,24.0,70.0,46.0,77.0,40.0,71.0,41.0,43.0,26.0,55.0,49.0,58.0,71.0,48.0,92.0,92.0,14.0,56.0,31.0,26.0,51.0,89.0,70.0,4.0,62.0,56.0,30.0,81.0,52.0,50.0,73.0,78.0,79.0,74.0,84.0,81.0,51.0,64.0,100.0,52.0,69.0,82.0,58.0,28.0,72.0,71.0,78.0,69.0,74.0,100.0,21.0,94.0,76.0,24.0,74.0,46.0,73.0,33.0,76.0,48.0,21.0,63.0,61.0
2022-06-01,8.93299,104.69000244140625,3785.3798828125,2.9719998836517334,1.3719998598098755,3.6,2.40126382,79.0,81.0,65.0,100.0,86.0,100.0,94.0,86.0,31.0,100.0,68.0,78.0,44.0,77.0,50.0,66.0,31.0,52.0,53.0,56.0,57.0,80.0,90.0,94.0,16.0,53.0,40.0,43.0,69.0,92.0,62.0,32.0,50.0,83.0,40.0,86.0,83.0,49.0,88.0,79.0,78.0,65.0,94.0,56.0,54.0,52.0,91.0,50.0,56.0,100.0,35.0,82.0,60.0,84.0,52.0,51.0,73.0,64.0,25.0,100.0,61.0,31.0,72.0,90.0,63.0,60.0,56.0,62.0,16.0,39.0,72.0
2022-07-01,8.41318,105.9000015258789,4130.2900390625,2.6419999599456787,0.34399986267089844,3.5,2.22257318,78.0,80.0,58.0,62.0,62.0,80.0,75.0,77.0,26.0,57.0,54.0,85.0,36.0,80.0,41.0,36.0,26.0,52.0,50.0,49.0,53.0,37.0,70.0,73.0,11.0,46.0,28.0,23.0,41.0,82.0,56.0,32.0,48.0,78.0,30.0,80.0,49.0,47.0,72.0,77.0,75.0,66.0,89.0,42.0,50.0,42.0,75.0,51.0,50.0,66.0,35.0,22.0,56.0,84.0,44.0,48.0,72.0,52.0,23.0,81.0,51.0,21.0,68.0,17.0,65.0,21.0,75.0,55.0,15.0,35.0,59.0
2022-08-01,8.22736,108.69999694824219,3955.0,3.132999897003174,0.27300000190734863,3.7,2.09959153,82.0,59.0,54.0,44.0,41.0,81.0,69.0,58.0,22.0,33.0,40.0,79.0,35.0,78.0,33.0,24.0,29.0,52.0,38.0,51.0,42.0,24.0,86.0,53.0,7.0,36.0,23.0,14.0,30.0,69.0,48.0,24.0,44.0,27.0,20.0,65.0,32.0,48.0,100.0,63.0,69.0,71.0,89.0,47.0,35.0,48.0,68.0,47.0,25.0,55.0,23.0,7.0,45.0,77.0,39.0,37.0,78.0,54.0,20.0,74.0,41.0,20.0,66.0,7.0,63.0,13.0,52.0,34.0,15.0,27.0,45.0
2022-09-01,8.21485,112.12000274658203,3585.6201171875,3.803999900817871,0.623999834060669,3.5,2.36598926,75.0,92.0,53.0,35.0,35.0,74.0,80.0,47.0,22.0,62.0,31.0,69.0,29.0,65.0,40.0,20.0,32.0,64.0,49.0,57.0,51.0,24.0,86.0,78.0,6.0,52.0,18.0,15.0,25.0,79.0,74.0,58.0,73.0,79.0,14.0,78.0,24.0,68.0,75.0,87.0,78.0,66.0,74.0,55.0,51.0,64.0,81.0,59.0,65.0,80.0,50.0,27.0,73.0,90.0,66.0,67.0,68.0,72.0,19.0,85.0,69.0,20.0,79.0,9.0,66.0,12.0,75.0,64.0,19.0,73.0,59.0
2022-10-01,7.76249,111.52999877929688,3871.97998046875,4.077000141143799,0.10200023651123047,3.7,2.37080895,76.0,90.0,55.0,40.0,39.0,73.0,94.0,53.0,26.0,72.0,38.0,61.0,34.0,62.0,39.0,22.0,28.0,63.0,49.0,61.0,57.0,26.0,92.0,89.0,7.0,67.0,21.0,23.0,28.0,92.0,79.0,100.0,78.0,41.0,16.0,80.0,28.0,67.0,86.0,82.0,85.0,77.0,80.0,69.0,43.0,63.0,86.0,60.0,69.0,91.0,74.0,12.0,78.0,100.0,86.0,87.0,66.0,76.0,18.0,82.0,88.0,20.0,83.0,13.0,76.0,15.0,89.0,51.0,21.0,84.0,58.0
2022-11-01,7.13535,105.94999694824219,4080.110107421875,3.703000068664551,-0.5499997138977051,3.6,2.45466999,77.0,90.0,47.0,34.0,30.0,65.0,83.0,42.0,20.0,62.0,25.0,57.0,31.0,51.0,35.0,16.0,23.0,66.0,46.0,57.0,52.0,17.0,87.0,78.0,5.0,51.0,15.0,8.0,19.0,84.0,79.0,29.0,78.0,71.0,11.0,72.0,20.0,75.0,67.0,89.0,76.0,72.0,83.0,77.0,58.0,60.0,82.0,60.0,79.0,63.0,75.0,13.0,78.0,86.0,82.0,79.0,61.0,73.0,16.0,74.0,78.0,14.0,79.0,7.0,70.0,9.0,72.0,55.0,21.0,77.0,62.0
2022-12-01,6.44494,103.5199966430664,3839.5,3.878999948501587,-0.381000280380249,3.5,2.21937769,72.0,77.0,45.0,33.0,31.0,61.0,62.0,43.0,19.0,46.0,29.0,50.0,25.0,50.0,28.0,16.0,29.0,69.0,37.0,59.0,42.0,16.0,73.0,61.0,5.0,40.0,15.0,5.0,20.0,67.0,64.0,17.0,57.0,55.0,11.0,63.0,17.0,64.0,56.0,74.0,69.0,70.0,91.0,63.0,46.0,51.0,68.0,56.0,63.0,53.0,53.0,6.0,64.0,71.0,64.0,57.0,63.0,54.0,13.0,61.0,62.0,16.0,71.0,4.0,70.0,8.0,69.0,45.0,18.0,54.0,51.0
2023-01-01,6.34716,102.0999984741211,4076.60009765625,3.5290000438690186,-1.0410001277923584,3.4,2.28560928,94.0,76.0,50.0,31.0,30.0,68.0,60.0,35.0,15.0,37.0,23.0,64.0,30.0,61.0,33.0,15.0,49.0,76.0,41.0,70.0,57.0,15.0,60.0,62.0,5.0,40.0,16.0,6.0,21.0,66.0,60.0,11.0,61.0,34.0,9.0,66.0,18.0,81.0,54.0,77.0,81.0,87.0,90.0,44.0,36.0,58.0,66.0,65.0,35.0,58.0,35.0,4.0,61.0,80.0,49.0,41.0,75.0,60.0,17.0,65.0,44.0,22.0,85.0,6.0,84.0,6.0,69.0,45.0,19.0,48.0,55.0
